event_name,event_link,opis,start_date_and_time,end_date_and_time,event_location,event_organizer,event_contact,event_cost,event_type
14th Annual Día de los Muertos Festival,{'url': 'http://www.mainstreetcanogapark.org'},"The annual street festival is a traditional cultural event that celebrates the ancient Mexican and Central American traditions of paying homage to loved ones who have passed.  Festivities are continuous all day in historic Downtown Canoga Park, recipient of the All-American City Award, and showcase live musical entertainment, vendors, international foods, calaveras, artists’ exhibits, altar displays, a children’s art pavilion, and a large classic car show.

For more details visit our websites, mainstreetcanogapark.org, and cpwhchamber.org

",2014-11-02T10:00:00,2014-11-02T17:00:00,,"Main Street Canoga Park, Canoga Park Chamber of Commerce",818-884-4222,Free,"Culture & Community, Holiday Celebration, Family Friendly, Free, Fairs & Festivals"
1st Thursday San Pedro Art Walk,{'url': 'http://www.1stthursday.com'},"On the first Thursday of each month, the artists, entertainers, and business people of San Pedro celebrate the arts with an evening of open galleries, studios, street vendors, and live entertainment in the Downtown San Pedro Arts District.  Downtown San Pedro is magically transformed into a village of creativity surrounded by historical architecture, including the magnificent Warner Grand Theatre, quaint restaurants and cafes, plus plenty of places to shop for unusual items and gifts. Bring the whole family for an enjoyable evening in this seaside village.    

",2014-11-06T17:00:00,2014-11-06T21:00:00,,San Pedro Peninsula Chamber of Commerce,,free,"Family Friendly, Culture & Community, Arts & Antiques, Free"
International Family Film Festival (IFFF),{'url': 'http://www.iffilmfest.org'},"The festival promotes socially responsible films and screenplays, suitable for a general audience, which express a fundamental respect for the positive values of life.

Event takes place November 7 - 9

",2014-11-07T10:00:00,2014-11-09T22:00:00,,International Family Film Festival,818-230-2672,"$10 General, $8 Members","Family Friendly, Fairs & Festivals, Culture & Community"
Annual City of Los Angeles & Battleship USS Iowa Veterans Appreciation Festival,{'url': 'http://www.pacificbattleship.com'},"Built in 1940, the USS Iowa (BB-61) served our country for over 50 years. Designated the “World's Greatest Naval Ship” due to her big guns, heavy armor, fast speed, longevity and modernization, she kept pace with technology for more than 50 years. USS Iowa is now transforming into the most interactive and educational museum of its kind. The festival will show our appreciation for all that this nation’s veterans have done to protect our freedoms. The free events is for the whole family and will include live music, a resource fair, free food, and loads of activities!

Time to be announced, please check website for details

",2014-11-08T00:00:00,2014-11-08T00:00:00,,"Port of Los Angeles, Battleship USSIowa",310-732-3508,Free,"Family Friendly, Free, Fairs & Festivals"
Autumn Festival,{'url': 'http://www.aquariumofpacific.org'},"Experience the cultures of Asia during the Aquarium of the Pacific’s thirteenth annual Autumn Festival. The traditions and cultures of Japan, China, Korea, and the Philippines are highlighted. The festival features traditional music, dance, acrobatics, martial arts, cultural exhibits, crafts, and ethnic cuisine.

Event takes place November 8 & 9

",2014-11-08T09:00:00,2014-11-09T17:00:00,,Aquarium of the Pacific,562-590-3100,"$28.95 Adults, $25.95 Seniors, $14.95 Children (3 -11), Free children under 3 and Aquarium members","Family Friendly, Fairs & Festivals, Culture & Community"
American Indian Arts Marketplace,{'url': 'http://www.theautry.org'},"Southern California’s Largest American Indian Arts Market! More than 180 Native American artists will be in Los Angeles this November for the Autry’s annual Marketplace. Featuring the finest in contemporary and traditional American Indian arts, the festival includes more than 25,000 square feet of exhibition space, artist demonstrations, music, dance, and food.

Event takes place November 8 & 9, time to be announced, please check website for details

",2014-11-08T00:00:00,2014-11-09T00:00:00,,The Autry National Center,"323-667-2000,",To be announced,"Family Friendly, Arts & Antiques, Culture & Community"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on November 8 & 29

",2014-11-08T15:00:00,2014-11-08T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on November 8 & 29

",2014-11-29T15:00:00,2014-11-29T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Downtown Art Walk,{'url': 'http://www.downtownartwalk.org'},"The Downtown Art Walk is a monthly, self-guided tour of the art exhibition venues in Downtown Los Angeles, including commercial art galleries, public museums, nonprofit spaces, and grassroots arts venues. The event brings together art lovers and community friends to the ever-evolving Downtown Los Angeles.

",2014-11-13T12:00:00,2014-11-13T22:00:00,,Downtown LA Art Walk,,Free,"Culture & Community, Arts & Antiques, Free"
Pershing Square Downtown on Ice Outdoor Skating Rink,{'url': 'http://www.pershingsquareicerink.com'},"Situated amid the Downtown Los Angeles skyscrapers, the rink will be open for ice skating daily, including holidays. There will also be a variety of free activities, including live concerts, youth programs, and special events. 

Skating takes place November 13 - January 19, Mondays through Thursdays, 11:30 a.m. – 9:30 p.m., Fridays through Sundays, 10:00 a.m. - 11:00 p.m.

",2014-11-13T00:00:00,2015-01-19T00:00:00,,City of Los Angeles Department of Recreation and Parks,213-624-4289,$8 per hour,"Great Outdoors, Family Friendly"
"Bones and Blues
",{'url': 'http://www.wlcac.org'},"Bones and Blues is a monthly concert series featuring live blues and jazz music, domino tournaments, and a hearty barbecue dinner.

",2014-11-28T20:00:00,2014-11-28T23:00:00,,Watts Labor Community Action Committee (WLCAC),323-563-5639,"$25 Door, $15 Pre-sale",Culture & Community
1st Thursday San Pedro Art Walk,{'url': 'http://www.1stthursday.com'},"On the first Thursday of each month, the artists, entertainers, and business people of San Pedro celebrate the arts with an evening of open galleries, studios, street vendors, and live entertainment in the Downtown San Pedro Arts District.  Downtown San Pedro is magically transformed into a village of creativity surrounded by historical architecture, including the magnificent Warner Grand Theatre, quaint restaurants and cafes, plus plenty of places to shop for unusual items and gifts. Bring the whole family for an enjoyable evening in this seaside village.    

",2014-12-04T17:00:00,2014-12-04T21:00:00,,San Pedro Peninsula Chamber of Commerce,,free,"Family Friendly, Culture & Community, Arts & Antiques, Free"
Annual Holiday Boutique,{'url': 'http://www.mcgroartyartscenter.org'},"Find affordable, quality gifts for everyone one your list. The McGroarty Arts Center presents the finest local artists and artisans, carefully selected to sell their hand-crafted work. Original paintings, photographs, soaps, lotions, and jewelry are just some of the treasures you'll find. Live musicians provide ambient music on harp, piano, flute, guitar, and violin throughout the day. The chili bowl sale offers a great deal on hand-made ceramic bowls, created on-site by the McGroarty Ceramics Department. Choose your favorite bowl and fill it with the chili of your choice. Select from hundreds of different bowls and dozens of chili recipes with all the fixings. Don't forget to visit the bake sale for hot cocoa and dessert!
    
",2014-12-06T10:00:00,2014-12-06T17:00:00,,McGroarty Arts Center,818-352-5285,Free,"Arts & Antiques, Family Friendly, Free"
Undiscovered Chinatown Tour,{'url': 'http://www.chinatownla.com'},"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com.    

",2014-12-06T10:30:00,2014-12-06T13:00:00,,Chinatown Business Improvement District,213-680-0243,$20 ,"Culture & Community, Tour LA, Family Friendly"
Holiday Festival and Tree Lighting,{'url': 'http://www.pico-rivera.org'},"Join your family and friends for this festive event featuring an array of activities such as a sled and snow play area, arts and crafts, food, special performances by the El Rancho High School Choraleers, a dance recital, and a visit from Santa Claus. Santa will be available to pose for pictures with children and accept their letters. The event will close with the lighting of the Civic Center Holiday Tree.   

",2014-12-06T12:00:00,2014-12-06T17:00:00,,City of Pico Rivera,,Free,"Family Friendly, Free, Holiday Celebration, Fairs & Festivals, Culture & Community"
Wilmington Winter Wonderland,{'url': 'http://www.portoflosangeles.org'},"Snow in Wilmington? Yes, tons of it! Activities include face painting, a story booth, jumpers, and more.
   
",2014-12-06T13:00:00,2014-12-06T15:00:00,,Port of Los Angeles,310-732-3508,Free,"Family Friendly, Great Outdoors, Free"
Port of Los Angeles Holiday Afloat Parade,{'url': 'http://www.portoflosangeles.org'},"The parade begins in the East Basin of Wilmington and takes approximately 90 minutes to cover the entire parade route up the Port’s Main Channel. Spectators may view the procession from several points along the Port’s Main Channel.
   
",2014-12-06T18:00:00,2014-12-06T21:00:00,,Port of Los Angeles,310-732-3508,Free,"Family Friendly, Great Outdoors, Holiday Celebration, Free"
Victorian Christmas at the Banning Museum,{'url': 'http://www.thebanningmuseum.org'},"This family event will feature authentic, Victorian-style seasonal decorations, including Christmas trees with handmade ornaments. The event is a presentation of the holiday season as it was celebrated 150 years ago, including holiday-themed entertainment and strolling carolers, readings of Victorian Christmas stories, ornament making sessions, hot cider, and cookies. A complimentary horse-drawn trolley will take visitors to the nearby Drum Barracks Museum for a Civil War Christmas.

This event takes place on December 6 & 7
   
",2014-12-06T11:00:00,2014-12-07T16:00:00,,Friends of Banning Museum,310-548-7777,Free,"Family Friendly, Culture & Community, Arts & Antiques, Free, Holiday Celebration"
Civil War Christmas Celebration,{'url': 'http://www.drumbarracks.org'},"Experience an authentic replica of a Civil War-era holiday celebration, complete with rustic handmade toys, ornaments, and other decorations. Entertainment including seasonal tunes will be played on a restored 1864 Steinway box grand piano. A horse-drawn trolley will take visitors to the nearby Banning Residence Museum to experience its Victorian Christmas program.

This event takes place on December 6 & 7
   
",2014-12-06T11:00:00,2014-12-07T16:00:00,,Drum Barracks Civil War Museum,310-548-7509,Free,"Family Friendly, Culture & Community, Free, Holiday Celebration, Arts & Antiques"
